t,output
1.092,0.99112433
1.093,0.9921012
1.094,0.99307597
1.095,0.9940486
1.096,0.99501914
1.097,0.9959876
1.098,0.9969539
1.099,0.9979181
1.1,0.9988802
1.101,0.99984014
1.102,1.000798
1.103,1.0017537
1.104,1.0027072
1.105,1.0036587
1.106,1.0046079
1.107,1.005555
1.108,1.0065
1.109,1.0074428
1.11,1.0083835
1.1110001,1.009322
1.112,1.0102583
1.113,1.0111924
1.114,1.0121244
1.115,1.0130543
1.1159999,1.0139819
1.117,1.0149074
1.118,1.0158306
1.119,1.0167516
1.12,1.0176705
1.121,1.0185872
1.122,1.0195017
1.123,1.020414
1.124,1.021324
1.125,1.0222319
1.126,1.0231376
1.127,1.0240409
1.128,1.0249422
1.129,1.0258411
1.13,1.0267378
1.131,1.0276324
1.132,1.0285246
1.133,1.0294147
1.1340001,1.0303024
1.135,1.031188
1.136,1.0320714
1.137,1.0329524
1.138,1.0338312
1.1389999,1.0347078
1.14,1.0355821
1.141,1.0364541
1.142,1.0373238
1.143,1.0381913
1.144,1.0390565
1.145,1.0399195
1.146,1.0407802
1.147,1.0416386
1.148,1.0424948
1.149,1.0433486
1.15,1.0442001
1.151,1.0450493
1.152,1.0458963
1.153,1.0467409
1.154,1.0475832
1.155,1.0484233
1.156,1.049261
1.1570001,1.0500964
1.158,1.0509295
1.159,1.0517603
1.16,1.0525888
1.161,1.053415
1.162,1.0542388
1.163,1.0550603
1.164,1.0558795
1.165,1.0566963
1.166,1.0575107
1.167,1.0583229
1.168,1.0591327
1.169,1.0599401
1.17,1.0607452
1.171,1.061548
1.172,1.0623484
1.173,1.0631465
1.174,1.0639422
1.175,1.0647355
1.176,1.0655265
1.177,1.066315
1.178,1.0671014
1.179,1.0678853
1.1800001,1.0686668
1.181,1.069446
1.182,1.0702227
1.183,1.0709971
1.184,1.0717691
1.185,1.0725387
1.186,1.073306
1.187,1.0740708
1.188,1.0748333
1.189,1.0755934
1.19,1.076351
1.191,1.0771064
1.192,1.0778592
1.193,1.0786096
1.194,1.0793576
1.1949999,1.0801033
1.196,1.0808465
1.197,1.0815873
1.198,1.0823257
1.199,1.0830617
1.2,1.0837953
1.201,1.0845264
1.202,1.0852551
1.203,1.0859815
1.204,1.0867053
1.205,1.0874268
1.206,1.0881459
1.207,1.0888624
1.208,1.0895766
1.209,1.0902883
1.21,1.0909976
1.211,1.0917044
1.212,1.0924088
1.213,1.0931107
1.214,1.0938102
1.215,1.0945072
1.216,1.0952018
1.217,1.095894
1.2179999,1.0965837
1.219,1.097271
